Background Characteristic,No education,Primary incomplete,Completed primary,Some secondary and higher,Don't know,Total,Median year of schooling,Total number
6-9,79.1,19.0,0.0,0.0,1.9,100.0,0.0,2.462
10-14,23.4,74.7,1.2,0.1,0.6,100.0,1.1,"2,729"
15-19,9.9,47.9,36.9,5.0,0.3,100.0,5.3,"1,853"
20-24,9.3,15.4,61.3,13.3,0.7,100.0,6.4,"1,223"
25-29,10.8,11.2,66.1,11.3,0.5,100.0,6.4,"1,143"
30-34,11.2,12.0,66.0,10.4,0.4,100.0,6.4,1.018
35-39,16.6,17.3,54.7,10.5,0.9,100.0,6.3,810
40-44,21.7,31.4,34.4,11.7,0.7,100.0,4.2,641
45-49,26.9,34.2,28.3,9.6,1.0,100.0,3.7,589
50-54,29.8,45.8,17.2,6.6,0.6,100.0,3.3,407
55-59,39.8,41.9,11.2,5.5,1.6,100.0,2.6,378
60-64,52.I,36.5,7.4,1.5,2.5,100.0,0.0,427
65+,64.7,27.5,3.9,1.5,2.4,100.0,0.0,863
Residence,NA,NA,NA,NA,NA,NA,NA,NA
Mainland,31.6,35.2,27.3,4.9,1.0,100.0,2.9,14.109
Total_urban,18.7,31.2,35.3,13.8,1.0,100.0,5.7,2.831
Dares_Salaam_city,14.6,26.3,38.6,18.3,2.2,100.0,6.2,904
Other_urban,20.6,33.5,33.7,11.7,0.5,100.0,4.6,1.927
Total_rural,34.8,36.2,25.3,2.7,1.0,100.0,2.1,11.278
Zanzibar,33.0,34.4,12.1,18.7,1.8,100.0,25,450
Pemba,41.9,36.2,7.9,13.3,0.7,100.0,0.7,187
Unguja,26.6,33.2,15.1,22.6,2.6,100.0,3.6,263
Region,NA,NA,NA,NA,NA,NA,NA,NA
Dodoma,39.5,32.4,23.2,4.2,0.7,100.0,1.7,648
Arusha,40.3,27.1,26.5,4.5,1.7,100.0,1.4,1.038
Kilimanjaro,13.8,43.5,33.9,8.1,0.7,100.0,4.7,741
Tanga,27.6,41.0,28.9,1.5,1.0,100.0,3.1,796
Morogoro,34.2,35.8,26.3,3.1,0.6,100.0,2.9,704
Coast,33.4,33.8,26.6,4.7,1.5,100.0,2.5,313
Dar_es_Salaam,15.8,27.0,37.5,17.2,2.4,100.0,6.1,1.058
Lindi,36.3,36.1,23.1,3.1,1.5,100.0,2.4,367
Mtwara,35.7,39.0,23.2,1.3,0.8,100.0,1.9,590
Ruvuma,24.1,37.8,33.4,3.6,1.1,100.0,3.4,549
lringa,36.1,36.3,24.1,3.1,0.3,100.0,2.2,710
Mbeya,29.6,33.0,30.0,7.1,0.4,100.0,3.4,817
Singida,37.1,"35,2",23.8,2.5,1.4,100.0,1.5,552
Tabora,32.4,30.7,32.2,3.9,0.7,100.0,2.9,460
Rukwa,34.9,33.8,29.0,2.2,0.0,100.0,2.8,440
Kigoma,35.6,34.6,26.8,2.4,0.6,100.0,2.2,616
Shinyanga,38.4,33.9,21.4,5.3,1.1,100.0,"1,2","1,22I"
Kagera,28.8,38.3,26.2,5.5,1.2,100.0,2.5,931
Mwanza,35.5,38.1,23.7,2.1,0.5,100.0,2.1,1.076
Mara,26.7,42.0,26.9,2.9,1.5,100.0,2.6,481
Total,31.6,35.1,26.9,5.3,1.0,100.0,2.8,14.559
